priority,use,topics,dewlab_tutorials,channel,title,note,minutes,format,url,nebula_url,views,video_id
A,companion,3D graphics; matrices & vectors,a-point-on-the-screen; the-fourth-number; a-cube-on-a-canvas,Branch Education,How do Video Game Graphics Work?,"How video game graphics work: vertices, projection, rasterising",21.0,explainer,https://www.youtube.com/watch?v=C8YtdC8mxTU,https://nebula.tv/videos/brancheducation-how-do-video-game-graphics-work/,5300000,C8YtdC8mxTU
A,companion,3D graphics; matrices & vectors,a-point-on-the-screen; the-fourth-number; a-cube-on-a-canvas,CrashCourse,3D Graphics: Crash Course Computer Science #27,Computer Science 27: 3D graphics,12.7,lesson series,https://www.youtube.com/watch?v=TEAtmCYYKZA,,545000,TEAtmCYYKZA
A,companion,3D graphics; matrices & vectors,a-ball-that-faces-you; the-fourth-number; a-ball-in-orbit,Josh's Channel,"In Video Games, The Player Never Moves",In video games the player never moves: camera transforms,19.4,explainer,https://www.youtube.com/watch?v=wiYTxjJjfxs,,509000,wiYTxjJjfxs
A,companion,3D graphics; programming practice,a-point-on-the-screen; the-fourth-number; a-cube-on-a-canvas,Sebastian Lague,Coding Adventure: Software Rasterizer,"Software rasterizer from scratch: projecting and filling triangles, the whole 3D strand in one build",50.1,coding project,https://www.youtube.com/watch?v=yyJ-hdISgnw,https://nebula.tv/videos/sebastianlague-coding-adventure-software-rasterizer/,630000,yyJ-hdISgnw
A,companion,AI & machine learning,a-model-that-corrects-itself,3Blue1Brown,But what is a neural network? | Deep learning chapter 1,But what is a neural network? The step after the perceptron,18.7,explainer,https://www.youtube.com/watch?v=aircAruvnKk,,24000000,aircAruvnKk
A,companion,AI & machine learning; calculus,a-model-that-corrects-itself; the-top-of-the-curve,3Blue1Brown,"Gradient descent, how neural networks learn | Deep Learning Chapter 2",Gradient descent: how a network learns,20.6,explainer,https://www.youtube.com/watch?v=IHZwWFHWa-w,,9500000,IHZwWFHWa-w
A,companion,AI & machine learning; Markov chains & language models; programming practice,a-chain-reads-a-book; whose-voice-is-this,CrashCourse,Make an AI sound like a YouTuber (LAB): Crash Course AI #8,AI 8 lab: make an AI sound like a YouTuber (text generation in a notebook),16.0,lesson series,https://www.youtube.com/watch?v=kZWum5omEv4,,107000,kZWum5omEv4
A,companion,AI & machine learning,a-model-that-corrects-itself,CrashCourse,Supervised Learning: Crash Course AI #2,"AI 2: supervised learning, built around a perceptron",15.4,lesson series,https://www.youtube.com/watch?v=4qVRBYAdLAo,,489000,4qVRBYAdLAo
A,companion,AI & machine learning; logic,a-model-that-corrects-itself,Robert Miles AI Safety,9 Examples of Specification Gaming,Nine examples of specification gaming: models learning the wrong lesson,9.7,explainer,https://www.youtube.com/watch?v=nKJlF-olKmg,,326000,nKJlF-olKmg
A,companion,AI & machine learning,a-model-that-corrects-itself,Spanning Tree,"Perceptrons: The First Trainable Neural Networks | Teaching Computers to Learn, Part 3",Perceptrons: the first trainable neural networks; the tutorial's own subject,12.4,explainer,https://www.youtube.com/watch?v=Ip6RIHwi21c,,54000,Ip6RIHwi21c
A,companion,AI & machine learning; probability,a-model-that-corrects-itself,Stand-up Maths,MENACE: the pile of matchboxes which can learn,MENACE: a pile of matchboxes that learns noughts and crosses,14.0,explainer,https://www.youtube.com/watch?v=R9c-_neaxeU,,452000,R9c-_neaxeU
A,companion,AI & machine learning,a-model-that-corrects-itself,Welch Labs,ChatGPT is made from 100 million of these [The Perceptron],ChatGPT is made from 100 million perceptrons: the tutorial's model scaled up,24.0,explainer,https://www.youtube.com/watch?v=l-9ALe3U-Fg,,816000,l-9ALe3U-Fg
A,companion,AI & machine learning,a-model-that-corrects-itself,Welch Labs,Neural Networks Demystified [Part 1: Data and Architecture],"Neural networks demystified, part 1 (short Python series)",3.1,explainer,https://www.youtube.com/watch?v=bxe2T-V8XRs,,835000,bxe2T-V8XRs
A,companion,AI & machine learning; calculus,a-model-that-corrects-itself; the-top-of-the-curve,Welch Labs,Neural Networks Demystified [Part 3: Gradient Descent],"Neural networks demystified, part 3: gradient descent",6.9,explainer,https://www.youtube.com/watch?v=5u0jaA3qAGk,,421000,5u0jaA3qAGk
A,companion,Markov chains & language models; AI & machine learning,a-chain-reads-a-book; how-much-it-remembers,3Blue1Brown,Large Language Models explained briefly,Seven-minute overview of language models; the grown-up version of a next-word chain,8.0,explainer,https://www.youtube.com/watch?v=LPZh9BOjkQs,,7700000,LPZh9BOjkQs
A,companion,Markov chains & language models,a-chain-reads-a-book; how-much-it-remembers,PurpleMind,The Gibberish Generator,The gibberish generator: text from Markov chains,11.6,explainer,https://www.youtube.com/watch?v=oVxW6aG08HI,,15000,oVxW6aG08HI
A,companion,Markov chains & language models; probability,where-chains-lead; a-chain-reads-a-book,Veritasium,The Strange Math That Predicts (Almost) Anything,The strange maths that predicts (almost) anything: the history of Markov chains,32.5,explainer,https://www.youtube.com/watch?v=KZeIEiBrT_w,,12000000,KZeIEiBrT_w
A,companion,Monte Carlo; trigonometry & waves,counting-darts,AlphaPhoenix,RainPi - Calculate Pi with Raindrops!,RainPi: calculating pi with raindrops (3 min),3.7,explainer,https://www.youtube.com/watch?v=I-BC_vI4CAE,,32000,I-BC_vI4CAE
A,companion,Monte Carlo; trigonometry & waves; programming practice,counting-darts,AlphaPhoenix,RainPi - Calculating Pi with Raindrops! (Part 2: How it Works),RainPi part 2: how it works,13.6,explainer,https://www.youtube.com/watch?v=akmFVxh1ZPQ,,12000,akmFVxh1ZPQ
A,companion,Monte Carlo; probability,counting-darts,Stand-up Maths,"Generating π from 1,000 random numbers","Generating pi from 1,000 random numbers",24.0,explainer,https://www.youtube.com/watch?v=RZBhSi_PwHU,,900000,RZBhSi_PwHU
A,companion,algebra & equations; trigonometry & waves,drawing-functions; transitions-and-transforms,SimonDev,"An In-Depth look at Lerp, Smoothstep, and Shaping Functions","Lerp, smoothstep and shaping functions: the maths behind CSS easing",8.7,coding project,https://www.youtube.com/watch?v=YJB1QnEmlTs,,202000,YJB1QnEmlTs
A,companion,algebra & equations,straight-lines; lines-and-distances,Stand-up Maths,NYC: The Linear Equation of Broadway,The linear equation of Broadway,10.5,explainer,https://www.youtube.com/watch?v=Quwvw0vYkRA,,188000,Quwvw0vYkRA
A,companion,algebra & equations; geometry,parabolas,Stand-up Maths,There is only One True Parabola,There is only one true parabola,9.7,explainer,https://www.youtube.com/watch?v=hoh4TmPzu1w,,1400000,hoh4TmPzu1w
A,companion,algebra & equations; programming practice,storing-and-computing; rules-with-letters-in-them,minutephysics,The Order of Operations is Wrong,The order of operations is wrong,4.2,explainer,https://www.youtube.com/watch?v=y9h1oqv21Vs,https://nebula.tv/videos/minute-physics-the-order-of-operations-is-wrong/,3600000,y9h1oqv21Vs
A,build seed,algorithms & complexity; recursion & fractals; games & puzzles,three-ways-to-make-change; a-function-that-calls-itself,2swap,Beating Connect 4 with Brute Force,Beating Connect 4 with brute force: search trees and the limits of trying everything,10.8,explainer,https://www.youtube.com/watch?v=i9pBeuBeupY,,263000,i9pBeuBeupY
