tier,channel,dewlab_strands,why,videos_catalogued,picks,picks_A,category,youtube_url,nebula_url
1 core,Stand-up Maths,probability; statistics; counting; recreational maths,"Matt Parker's catalogue is full of simulatable puzzles, data mishaps (Excel, databases) and honest-chart material.",318,112,34,Mathematics,https://www.youtube.com/@standupmaths,
1 core,CrashCourse,computer science; statistics; AI,"Only the Computer Science, Statistics, AI and Navigating Digital Information series were reviewed; the rest is out of scope.",1701,57,28,Education & learning,https://www.youtube.com/@crashcourse,
1 core,3Blue1Brown,linear algebra; calculus; probability; neural networks,"The visual reference for matrices, derivatives, Bayes and neural networks; whole series map onto dewlab's maths strand.",152,67,26,Mathematics,https://www.youtube.com/@3blue1brown,
1 core,Spanning Tree,algorithms; logic; binary; AI,"Brian Yu's short, clear CS explainers: perceptrons, floats, logic gates, Dijkstra, B-trees, Hamming codes.",31,30,14,AI & computer science,https://www.youtube.com/@SpanningTree,
1 core,Ben Eater,how computers work; binary; networking; error detection,"Breadboard computer, two's complement, parity, checksums, adders and a networking series; the hardware under dewlab's binary tutorials.",133,33,13,AI & computer science,https://www.youtube.com/@BenEater,
1 core,Veritasium,probability; Markov chains; game theory; history of computing,"Selective: a few dozen videos are excellent (Markov chains, Game of Life, QR codes, Benford, maze solving).",449,40,12,Science & discovery,https://www.youtube.com/@veritasium,
1 core,Up and Atom,logic; computability; probability; paradoxes,"Approachable takes on the halting problem, Turing machines, the gambler's fallacy, Russell's paradox. On Nebula.",105,33,12,Mathematics,https://www.youtube.com/@upandatom,https://nebula.tv/upandatom/
1 core,Reducible,algorithms; recursion; compression; graphs,"Short, animated CS: recursion, Big O, BFS/DFS, dynamic programming, PNG, JPEG, Huffman, PageRank.",23,22,10,AI & computer science,https://www.youtube.com/@Reducible,
1 core,Sebastian Lague,3D graphics; simulation; algorithms; how computers work,"Coding Adventures are the model for build-from-scratch projects: rasteriser, ray tracer, fluids, boids, chess, RAM from gates.",296,53,9,AI & computer science,https://www.youtube.com/@SebastianLague,https://nebula.tv/sebastianlague/
1 core,minutephysics,statistics; colour; orbits,"Selective: Simpson's paradox, computer colour is broken, the missing chart, the 100 prisoners. On Nebula.",303,30,7,Science & discovery,https://www.youtube.com/@MinutePhysics,https://nebula.tv/minutephysics/
1 core,Welch Labs,neural networks; complex numbers; logarithms,Imaginary Numbers Are Real and Neural Networks Demystified are short series that line up with dewlab tutorials.,80,19,7,AI & computer science,https://www.youtube.com/@WelchLabs,
1 core,SimonDev,3D graphics; data structures; floating point; JavaScript,"Game-dev programmer on hash tables, Big O, floats, lerp and easing, cameras in three.js.",67,20,6,AI & computer science,https://www.youtube.com/@simondev758,
1 core,Captain Disillusion,images; colour; video,"The short CD/ series (colour, resolution, aspect ratio, frame rate, alpha channel) fits the web images tutorials. On Nebula.",112,11,5,Photography & filmmaking,https://www.youtube.com/@CaptainDisillusion,https://nebula.tv/captaindisillusion/
1 core,Technology Connections,colour; digital sound; accessibility; design,"Selective: RGB, digital sampling, closed captions, electromechanical logic.",233,20,4,Technology & gadgets,https://www.youtube.com/@TechnologyConnections,
1 core,Branch Education,how computers work; images; 3D graphics,"3D-animated teardowns: CPUs, memory, JPEG compression, how game graphics work. On Nebula.",51,16,4,Making & engineering,https://www.youtube.com/@BranchEducation,https://nebula.tv/brancheducation/
1 core,Primer,simulation; probability; evolution,Agent simulations explained with blobs; the template for simulation projects and for testing a coin.,23,15,4,Science & discovery,https://www.youtube.com/@PrimerBlobs,
1 core,PurpleMind,algorithms; probability; Markov chains; history of computing,"Buffon's needle, a Markov gibberish generator, the Ariane 5 overflow, what a computer is.",27,14,4,Mathematics,https://www.youtube.com/@PurpleMindCreations,
1 core,Physics for the Birds,linear algebra; images; puzzles,"SVD of an image, Lights Out by linear algebra, popcorn statistics.",26,10,3,Mathematics,https://www.youtube.com/@physicsforthebirds,
1 core,Josh's Channel,binary; 3D graphics; complex numbers,"How binary works, camera transforms ('the player never moves'), the square root of -1.",11,6,3,Mathematics,https://www.youtube.com/@JoshsHandle,
1 core,Gapminder Foundation,statistics; charts,Hans Rosling's bubble charts and misconception studies; the canonical honest-data material.,77,9,2,Education & learning,https://www.youtube.com/@gapminder,
1 core,Mats Vermeeren,simulation; iteration; queues,"Traffic as a fluid and iterated population models; small catalogue, high hit rate.",5,5,2,Mathematics,https://www.youtube.com/@MatsVermeeren,
1 core,Polylog,algorithms; sorting; complexity,Algorithm deep dives with real code; good for the algorithms-that-scale strand.,17,11,1,AI & computer science,https://www.youtube.com/@PolylogCS,
1 core,2swap,search; games; chaos,Solving Connect 4 and Klotski by search: brute force made visible.,13,7,1,Mathematics,https://www.youtube.com/@twoswap,
1 core,argonaut,simulation; genetic algorithms,"Cellular automata, genetic algorithms, procedural animation: short build-seed videos.",5,5,1,AI & computer science,https://www.youtube.com/@argonautcode,
1 core,MinuteLabs.io,simulation; JavaScript,Let's-build-a-physics-simulation livestreams in JavaScript; pairs with drawing frames with JavaScript.,15,5,1,Science & discovery,https://www.youtube.com/@Minutelabsio,
1 core,Random Noise,linear algebra; probability; algorithms,"Lights Out with linear algebra, HyperLogLog, randomised response. Small catalogue, all relevant.",5,4,1,AI & computer science,https://www.youtube.com/@rdmnoise,
2 selective,Steve Mould,logic machines; games; exponential decay,"Water computer, mechanical circuits, 2048 with minimax.",239,21,6,Science & discovery,https://www.youtube.com/@SteveMould,
2 selective,AlphaPhoenix,randomness; algorithms; simulation,"Predicting pseudo-random numbers, the unkillable Snake AI, pi from raindrops.",115,15,5,Science & discovery,https://www.youtube.com/@AlphaPhoenixChannel,
2 selective,Looking Glass Universe,linear algebra; probability paradoxes,"Linear Algebra Makes Sense, martingale betting, two envelopes.",100,16,4,Science & discovery,https://www.youtube.com/@LookingGlassUniverse,
2 selective,Answer in Progress,data; design; AI projects,"History of the algorithm, reading graphs, dark mode and design; much else is lifestyle.",93,16,3,Education & learning,https://www.youtube.com/@answerinprogress,
2 selective,engineerguy,Fourier; queues; digital-to-analogue,The harmonic analyser series and why the other line moves faster.,97,12,3,Making & engineering,https://www.youtube.com/@engineerguyvideo,
2 selective,Tantacrul,interface design; open-source teams,Interface critiques of music software; a model for critique-and-reflection and team projects. On Nebula.,38,9,2,Music,https://www.youtube.com/@Tantacrul,https://nebula.tv/tantacrul/
2 selective,This Place,game theory; colour,Prisoner's dilemma and tragedy of the commons animations; the rest is biology and philosophy.,29,7,2,Science & discovery,https://www.youtube.com/@ThisPlaceChannel,
2 selective,Ellie Sleightholm,trigonometry; proof; exam problems,"Where trigonometry comes from, derivatives, proof basics; much of the channel is vlogs.",116,11,1,Mathematics,https://www.youtube.com/@elliesleightholm,
2 selective,Ben Syversen,history of mathematics,"History of notation, logarithms and Archimedes; good context pieces.",9,6,1,Mathematics,https://www.youtube.com/@bensyversen,
2 selective,xkcd's What If?,estimation; big numbers,Two-minute estimation problems; good warm-ups for numbers and powers.,44,5,1,Science & discovery,https://www.youtube.com/@xkcd_whatif,
2 selective,Howtown,evidence; measurement,Eratosthenes and Earth's circumference; the rest is science journalism.,30,4,1,Science & discovery,https://www.youtube.com/@Howtown,
2 selective,Robert Miles AI Safety,AI safety,Specification gaming is a good companion to the perceptron tutorial.,46,4,1,AI & computer science,https://www.youtube.com/@RobertMilesAI,
2 selective,Patrick J,worked examples,Thousands of worked examples; only a handful linked. Search all-videos.csv for a specific technique.,2067,35,0,Mathematics,https://www.youtube.com/@patrickjmt,
